Competitor Name,Competition,Round,Place,Single,Average,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5
Luke Garrett,Gallop in Kentucky Winter 2024,First round,1,4.74,5.63,6.15,4.74,4.97,5.76,6.31
Luke Garrett,Don't Pop Preble 2024,Final,1,5.15,5.72,5.75,8.68,5.73,5.15,5.68
Luke Garrett,Don't Pop Preble 2024,Second round,2,5.14,6.39,6.67,5.99,5.14,6.91,6.52
Luke Garrett,Don't Pop Preble 2024,First round,1,4.53,5.59,5.79,6.28,5.34,4.53,5.64
Luke Garrett,Indiana Championship 2024,Final,1,5.12,5.91,6.50,6.23,5.12,5.79,5.72
Luke Garrett,Indiana Championship 2024,Semi Final,1,4.43,6.44,9.05,4.43,6.95,6.60,5.76
Luke Garrett,Indiana Championship 2024,Second round,1,4.70,5.70,8.00,5.23,4.70,6.09,5.79
Luke Garrett,Indiana Championship 2024,First round,1,4.31,4.94,6.84,4.91,5.06,4.31,4.86
Luke Garrett,Kenosha First A 2024,Final,1,4.46,6.15,6.38,5.80,4.46,6.26,10.70
Luke Garrett,Kenosha First A 2024,Second round,2,5.55,6.79,5.55,7.13,6.11,7.13,DNF
Luke Garrett,Kenosha First A 2024,First round,2,4.90,6.88,8.04,4.90,DNF,6.14,6.45
Luke Garrett,Ohio State Fall 2024,Final,1,5.01,5.69,7.48,6.11,5.67,5.01,5.30
